technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,39.984049449943726,62.68466958130704,513.2679596726804,1645.430276315631,2707.709529861187,3933.547537307832,5188.556426325524,6502.852793133248,8017.221712143146,9975.515528423055,13548.925204755085,14720.728114430041,15775.25257843595,16780.651349393032
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAF,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,natural_gas,706.2612936475248,876.4085660362678,7496.007446520644,24159.24061980982,40849.04451819953,54121.728597485686,67929.44687573546,81364.93304461577,101178.73761457931,126553.04113222254,178459.00429770406,191803.06320698714,198584.76941701118,207859.60808019352
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,554.720120578348,10393.630185291615,20784.55909830243,30717.001233136176,40168.77714140151,47861.62279655756,55378.497661084715,62548.58909756186,72272.41384321336,80205.82213396479,87412.72551408758,92529.66672729846,95039.2119074204,99883.57208448598
biomass_to_coal_conversion,biomass_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,biomethane,1275.8639325137954,23905.49285912787,47804.77275473212,70649.5267333736,92388.74175767401,110082.39292643995,127371.30884834794,143862.6181001009,166227.54920468596,184474.49775510552,201050.47498525135,212819.5103898488,218591.49893606053,229733.5941958829
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,coal_for_cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,electricity,3.836079352757909,238.91749154220568,435.787966178885,590.1175802192938,700.8883080573551,875.2758016783275,1452.0026458123943,6861.616532126834,8750.110908885015,11469.245037164601,16977.42609721723,19553.295841772542,24908.220641611126,32584.123265063605
gasification,dry_biomass,0.0,46.25572997363597,1550.9974009718987,5645.417745184708,8211.857335859971,18560.6525537704,28472.46384885139,35164.24720574259,41978.08093715191,50811.05211361884,59405.18506164022,65995.6737150071,75283.12476351284,77995.89050496886
gasification,electricity,0.0,2.667110724501299,89.43068900141768,325.5154382182267,473.49664364113016,1070.2093666691344,1641.725548975869,2027.5745490322158,2420.460987758155,2929.771124413511,3425.3098212738178,3805.3181570436236,4340.833655531461,4497.252041020586
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_methanol,dry_biomass,1333.6241810613176,17684.0688244023,30826.562259533966,37781.29447003942,44204.45551322464,46722.664425692,49566.30679286942,51710.60536975833,48893.81044695561,51835.061258118556,54270.29037472785,56043.38488436022,60396.00851848717,63386.041312792215
h2_to_ng,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haber_bosch,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_for_cement_conversion,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol_from_hydrogen,carbon,119.4980626324711,187.34212141357258,1533.974774873522,4917.603936652246,8092.3775548750355,11755.969926203921,15506.74365309481,19434.70649763981,23960.614800188716,29813.25621166484,40492.90258444436,43995.00333063371,47146.6006528271,50151.37880870602
