carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,25460.18942224253,61394.74973074439,71627.86902430677,81844.16434177883,91947.95410806425,102452.89704929385,111830.24835350271,119096.01203984223,129790.39443481009,137291.6639382523,149894.24133555402,160606.3222780655,218903.89885961753
electricity,286.58774672634576,127.7774574577728,24.110831969558845,20.403067261877627,20.510414013212962,24.170193544844555,31.12331673146147,44.48461900839066,55.85938055287433,63.04889963192952,66.70867916354797,70.10936956989615,73.53263007509014,103.50738256536795
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,83979.62856909487,70929.4867761759,66930.85800832987,90089.23889419736,109590.11404981425,134645.66226632553,160540.03159328637,187061.92342046017,216127.22780305805,237222.13430208366,257209.22053053917,279579.3530029788,294006.9132741881,217411.27425462703
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,182.58505510282535,14184.395015800425,20650.717882589106,24856.404035816548,30673.466057115787,34146.186773651745,37124.83562613384,40256.20127503298,43054.003011996734,48070.2347459953,54705.46604320542,58524.19783080143,66382.37995921807,92705.18226232001
