carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,5318.667285913966,9319.573466419213,11097.408500613908,12803.126079584174,17638.294731941547,21215.698963213603,27242.360989560828,27094.70948603006,26733.675743318377,28051.41822097146,28276.117542969518,29002.732538739532,53894.45471229643
electricity,158.01599794972032,30.123269917198765,22.07907227744708,22.089109389473204,8.061508664832182,6.80357980382111,6.883843076278066,6.883843076278066,6.883843076278066,6.883843076278066,6.883843076278066,6.883843076278066,6.883843076278066,6.887783463131711
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,84136.16408719786,75261.02046645475,66050.29529625512,56708.074182330725,50149.70114378252,44019.81122317226,37769.76091178695,32533.425945306142,32619.74747513995,32709.3088443265,31383.928482527153,31345.034792270468,30679.009461445243,14.601510277002452
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,114.52654254201317,1937.532228108526,4386.135832989915,7752.29353531909,9948.548685616839,10768.942561197671,12121.26238202316,12152.171404078135,12177.684588625916,12287.18067993258,12354.35481697939,12305.669810750287,12337.362180046235,16682.764290725343
