carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,1.0357144829276077e-12,5.005241013322782e-13,1.3344143498517091e-13,1.417993326924272e-12,8.937251980145611e-13,3.5568553310993956e-13,395.9128603065986,3.143709251252069e-13,1.7285652076370894e-13,2.9964962802719874e-13,5.432633509716567e-13,9.245455394107581e-11,1.736163296461868e-12,4.2772063885490597e-10
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,28.10462393451014,27.246392516485365,26.39036264935237,25.534332782219316,23.79627440764009,21.67692447810997,17.814343814256464,17.696262913073024,16.338023878863694,14.74251804702797,11.981989163411763,43.276226471038754,38.454492491545594,37.12244809157563
wet_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
