technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.20869957580305,1165.8720642214087,29482.2314813233,75865.73116475034
SMR,natural_gas,235111.5368159582,228081.07417900962,221050.15341135993,214019.23264371,199432.64689277692,183737.6279125196,167399.73189725538,151129.10101934354,134822.9132561419,118403.65075634731,102125.42612797451,83732.45386163704,68704.25672210073,45093.736572943286
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.1871251126547,611.1871251126547,611.1871251126547,4541.012427306653
anaerobic_digestion,wet_biomass,1197.5383572460837,7685.565242244523,19557.489124846667,31429.315394836143,33228.8224312919,33984.13077359203,34009.64536831784,34416.33301729076,34699.42016662595,34843.694435740974,34931.372702846085,33672.01968297827,29115.51332249651,21285.943764035008
biomethane_conversion,biomethane,2754.354747794479,17676.906118599116,44982.49488211663,72287.85913527795,76426.75015247228,78163.96976308024,78222.65368305313,79158.04088801407,79809.14523811112,80140.97804807253,80342.63927238164,77446.1099475097,66966.0824382366,48957.96440506695
carbon_liquefication,carbon,0.0,0.0,0.0,0.0,0.0,280.7848555117664,799.3180290648679,1120.5478007131555,1511.3661698898864,1947.290155042949,2596.8492151553082,4711.4501238776065,24388.951289932666,58052.0310410291
carbon_liquefication,electricity,0.0,0.0,0.0,0.0,0.0,21.328417624673776,60.71619748776736,85.11681094217128,114.80337426483577,147.9161601770624,197.2566663831972,357.88175140974295,1852.5847399832853,4409.63227787657
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.86765247832636
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,266.74561273617815,759.3521276116245,1064.5204106774977,1435.7978613953921,1849.9256472908014,2467.006754397543,4475.877617683726,23169.503725436036,55149.42948897764
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,10.058977056281279,28.63516873223436,40.14306468664844,54.14393735322024,69.76069615933612,93.03082470833134,168.78534496285332,873.7219854861928,2079.684986029347
electrolysis,electricity,7038.54382075206,6823.607678635741,6609.222894632646,6394.838110629538,5959.557422974459,5428.785782504702,4461.438084593,4431.865812097548,4091.707374695389,3692.127656432314,3000.778377218946,10838.131729603792,9630.572931245391,9296.974698363027
gasification,dry_biomass,12163.889669859838,12163.889669859838,12163.88966985984,12163.88966985984,12163.88966985984,12163.88966985984,12163.88966985984,12148.90842735984,12133.09011955584,12082.06772643984,12022.25254464384,0.0,0.0,0.0
gasification,electricity,701.3712811066805,701.3712811066805,701.3712811066805,701.3712811066805,701.3712811066805,701.3712811066805,701.3712811066805,700.5074609364901,699.5953754843406,696.6534184133579,693.2044681331,0.0,0.0,0.0
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,1475.1722913841304,4199.413840647314,5887.073445505695,7940.333861287941,10230.567723351049,11896.561278819063,20106.619445693304,21452.260464269904,27673.846658744802
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,139.93512343094548,398.35719363819146,558.4489039384781,753.2215765249272,970.473595184271,1128.5100599288962,1907.3177352539374,2034.9654975716383,2625.1463443412204
refinery,hydrogen,193082.3591082,187531.3383333335,181980.31766666684,176429.29700000002,164919.0351,153408.77319999997,141898.51129999998,130388.2494,118877.9875,107367.72560000002,95857.46370000002,84347.20180000002,72836.93990000003,61326.67800000001
