carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,19634.349725800126,19185.88617707156,19630.041863930805,22818.436726593613,7891.752963952808,5983.9007290713325,5342.302558919222,4246.301223214319,3696.169088508501,3237.9366055651744,2596.0823202763772,295.992587152771,3072.904519150298,5560.228773374355
electricity,332.72526520886635,247.8840680242167,236.27825150640768,512.0491317550852,16.156611373534446,0.0,0.0,0.0,28.44896289883383,38.84818448181707,26.899205095303778,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,229482.9577198947,211335.86915756567,177807.47519172594,146906.33137549335,132030.3253841013,107242.36706459451,82934.2513208796,56958.834753676456,31372.63690064969,22483.266809387154,15432.439899506106,10832.100876259135,4648.4842424407,338.39229759149316
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,0.0,4403.662155951819,15198.640152377951,23950.527465921743,23950.527465921743,23950.527465921743,23950.527465921743,23950.52746592174,23617.65637430509,23280.471059206222,22244.10216287978,20681.80881578873,18099.65295566953,13637.302215315176
