carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,13149.417297603157,13149.417297603159,13149.417297603159,13149.417297603159,13149.417241211922,13465.2680886222,15946.545031747475,17213.155452690335,19380.490899938057,20976.418625988204,20928.782635961034,15187.646443191661,15192.366884926798,20791.4678075749
electricity,282.85824446023196,-1.1000967718718296e-05,0.0,0.0,0.0,0.0,0.699240566296733,0.0,0.0,0.0,0.0,0.0,5.2801524219004605,19.43233126121927
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,232971.00927334657,210435.53136488292,176098.9714753322,141762.5261266163,123037.48845384011,104589.94514124063,88602.43264463246,71040.57736388799,54198.71555741388,36890.9824134252,22627.26159518228,13489.246029439804,3732.4199167977763,676.7845951829865
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,580.4943635733193,7322.561885926762,19193.909041494397,31064.636095184145,32866.2329899424,34435.65913539616,34461.17373012198,35159.76954156031,35351.89029352396,35958.36474697291,35948.292523316755,35300.07805710455,30856.841519917125,23805.681258711524
