technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,4068.777193582659,4078.166679414006,4087.5561652453507,4096.945651076696,4106.33513690804,4115.724622739384,4125.113890293796,4134.503594402074,4143.893080233418,4153.282566064762,4162.672051896107,4172.061537727453,4181.451023558796,4190.840509390141
BF_BOF,coal,116551.44619614228,99348.16580014756,73793.05582741104,65656.11163925729,64456.51705256119,65054.406908697645,65645.29902941154,66236.19115012545,66781.48148148147,66992.37037037036,67203.25925925924,67414.14814814813,67625.037037037,67835.92592592593
BF_BOF,iron_ore,204712.15549835248,174496.13736692583,129610.88010711939,115319.06787920832,113212.08764360107,114262.2275191228,115300.0765003767,116337.9254816306,117295.67901234569,117666.08641975309,118036.49382716048,118406.90123456786,118777.30864197524,119147.71604938273
BF_BOF,limestone,40344.73137558771,34389.74970005108,25543.75009410382,22727.115567435216,22311.871287425027,22518.83316070303,22723.37274095015,22927.912321197273,23116.666666666668,23189.666666666664,23262.66666666666,23335.66666666666,23408.666666666653,23481.666666666668
BF_BOF,scrap,18678.116377586903,15921.180416690313,11825.810228751769,10521.812762701487,10329.57004047455,10425.385722547699,10520.079972662108,10614.774222776514,10702.16049382716,10735.956790123455,10769.75308641975,10803.549382716046,10837.345679012338,10871.141975308641
BF_BOF_CCS,electricity,39.98587603780521,370.0482150527273,719.0771325285461,1069.0349148946696,1819.3352298533846,2585.251191177357,5355.105702658514,9329.098759749524,14066.103150091656,21462.81090865368,26730.64612179106,32227.166269619254,37512.84115125228,40637.84696505603
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,iron_ore,26867.127631930845,72816.15174240828,123679.82554634755,141899.53232085484,146910.35414516655,148273.09456135274,149619.86578644643,150966.63701154015,152398.76543209876,152880.02469135803,153361.28395061725,153842.54320987652,154323.80246913573,154805.06172839506
DRI,natural_gas,50421.86966540447,136654.9697083553,232111.4534225975,266304.6017528372,275708.47284777835,278265.94458774425,280793.44674990635,283320.9489120685,286008.64197530865,286911.8271604939,287815.012345679,288718.19753086416,289621.38271604927,290524.5679012346
EAF,direct_reduced_iron,27135.068615304757,50870.55634797749,85313.51789698582,97425.49767088806,100643.43949420354,101556.91408311833,102479.36012770305,103401.80617228778,104382.71604938271,104712.34567901235,105041.97530864197,105371.60493827159,105701.23456790118,106030.86419753087
