technology,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,18.515845073506828,18.650830102560768,18.763216365830306,18.85958419568227,18.92003921191655,18.956817185871355,18.98094607135084,18.988058094916326,18.98817116306218,18.98821154454175,18.98825192602132,18.98829230750089,18.989056146304705,19.008598512372103
BF_BOF_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,0.3267966292243832,0.556729067777393,0.7469055962744205,0.7492574617747298,0.7505492007457384,0.7516833465189063,0.7520409802883417,0.8344252833655774,0.8362759483709951,0.8369369001407436,0.8567333403705542,1.0946174747015947,1.1966618340287714,1.3624099480274037
EAF,2.8502203112983446,3.380914117274488,4.928210368418356,10.12391259666258,12.10111612071233,14.728716474687237,19.831262512008,21.183373974188427,22.3203380593545,22.383642310969336,22.445986516951567,22.500810943766165,22.57873084727015,22.611751929748692
SMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057682286833573345,0.0950585904009665,0.5917858866246883
biomass_to_coal_conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomethane_conversion,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,2565.0,5010.0
carbon_pipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_removal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_oxy_combustion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cement_plant_pcc_ng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e_haber_bosch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723969988989073
gasification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049197440445461
gasification_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
haber_bosch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_for_cement_conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_pipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015705989761233999
methanol_from_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanol_synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_ground,11.699847638522538,14.420710206060388,22.952248613937723,55.1235414592085,68.77112862444065,87.51536655138206,123.58144242319518,133.61826124756135,139.12930655548774,139.53086810193486,139.92506451208237,140.2660389662725,140.55736286636437,140.75968679680778
refinery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,65.0,67.0
scrap_conversion_EAF,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,76.0,76.0,76.0,76.0,76.0,76.0
wind_offshore,0.0680038412430568,0.1215860856662199,0.122137075962121,0.122688066258022,0.1232390565539231,0.12379004684982431,0.1243410371457252,0.12493613570776857,0.842826119836928,0.8436942899243136,0.8445624600116992,0.8454306300990848,0.8462988001864704,0.847166970273856
wind_onshore,0.8138121826833263,0.8263502210556537,0.8319699213355313,0.8369112880946692,0.8463853399964142,0.8558593918981594,1.3225309578057343,1.3319308105496135,1.3413306632934936,1.3430689373897269,1.3448072114859597,1.346545485582193,1.443283759678426,1.4450220337746595
