technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,iron_ore,257777.59946855996,258276.24566328613,258774.8918580124,259273.53805273856,259772.18424746467,260270.83044219093,260769.4766369171,261268.12283164327,261766.76902636947,262265.4152210956,262764.06141582184,263262.707610548,263761.3538052742,264259.99999999994
DRI,natural_gas,483774.39900264,484710.2144639754,485646.0299253109,486581.8453866464,487517.6608479817,488453.4763093173,489389.29177065264,490325.1072319881,491260.9226933236,492196.73815465893,493132.55361599446,494068.3690773299,495004.1845386653,495939.99999999994
EAF,direct_reduced_iron,176559.999636,176901.53812553844,177243.07661507698,177584.61510461546,177926.1535941539,178267.6920836924,178609.2305732309,178950.76906276937,179292.30755230784,179633.84604184632,179975.38453138483,180316.9230209233,180658.46151046178,180999.99999999997
EAF,electricity,148310.39969423998,148597.2920254523,148884.18435666466,149171.07668787698,149457.96901908927,149744.86135030162,150031.75368151395,150318.64601272627,150605.5383439386,150892.4306751509,151179.32300636324,151466.21533757556,151753.10766878788,152039.99999999997
SMR,natural_gas,15719.091721390032,36420.49669969014,43244.89668634885,84881.93951844203,154829.0575122455,172235.21455167164,175699.78358645106,177508.09515245885,178133.84046476777,177961.0238721003,177157.28748782302,0.0,0.0,0.0
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,42447.92999980605,51597.37760627201,54596.70054704665,72670.18605676829,103120.4459292304,110607.75789722553,112033.48190466718,112730.67246810772,112913.7055378634,112737.83160451056,112287.62239328182,0.0,0.0,0.0
biomethane_conversion,biomethane,97630.82478450263,118674.68054250888,125573.16469719548,167142.43078515175,237178.44870792216,254399.36955983608,257678.55445206122,259282.10236926196,259703.08095557155,259298.56848178516,258263.0810830347,0.0,0.0,0.0
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,electricity,12.4498447963439,652.5187133893563,864.7526089621931,2025.950694609467,3272.152428471716,3286.3871948054166,26783.7663285448,52619.75378349662,236451.00492321444,249900.53637413032,254519.37909211786,828336.5000312108,829905.453140606,831474.4062499999
gasification,dry_biomass,9206.33330253273,32641.144732834353,38219.58971034146,67218.17402851353,123336.65797650954,187285.4077024749,228441.9917377773,231655.39628126848,232045.21686951086,232072.83582545022,230323.83468443024,0.0,0.0,0.0
gasification,electricity,530.838239900517,1882.0921694795677,2203.745950190189,3875.807666099422,7111.605922137384,10798.898205921116,13171.991587583414,13357.276864131669,13379.753964203923,13381.346476388413,13280.498868901985,0.0,0.0,0.0
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,hydrogen,17819.618693299137,48698.97268859882,57548.2384296259,108331.11848129009,197781.55194034212,250841.72064061495,294064.8972468629,313984.6453178534,432360.15966766386,440851.9146737572,442104.7135022999,530135.3600199749,531139.4900099878,532143.6199999999
scrap_conversion_BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
