technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,iron_ore,257777.59946855996,253559.32258636307,249341.0457041661,245122.76882196913,240904.49193977215,236686.21505757523,232467.93817537828,228249.6612931813,224031.38441098435,219813.1075287874,215594.83064659045,211376.55376439347,207158.27688219651,202940.0
DRI,natural_gas,483774.39900264,475857.9067716677,467941.4145406953,460024.922309723,452108.43007875053,444191.9378477782,436275.44561680587,428358.9533858334,420442.4611548611,412525.9689238887,404609.47669291636,396692.98446194397,388776.4922309716,380860.00000000006
EAF,direct_reduced_iron,176559.999636,173670.76889476922,170781.53815353842,167892.30741230762,165003.07667107682,162113.84592984605,159224.61518861528,156335.38444738445,153446.15370615368,150556.92296492288,147667.69222369208,144778.46148246128,141889.23074123048,139000.0
EAF,electricity,148310.39969423998,145883.44587160615,143456.4920489723,141029.5382263384,138602.58440370453,136175.63058107067,133748.6767584368,131321.72293580294,128894.76911316908,126467.8152905352,124040.86146790134,121613.90764526748,119186.95382263362,116760.0
SMR,natural_gas,876.2719811052204,16604.64448887365,17004.12253002795,52921.41723791097,83939.92497808381,136232.2700551368,138775.5645630977,139984.1105627378,140686.26537189467,141046.1989712786,140926.95362991703,17230.154303010415,0.0,0.0
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,35347.95733063186,42683.83914641692,42727.360262075796,58185.47210170621,71522.40278320717,93983.31506049659,94814.27080346298,95049.37151919196,95039.6085184138,94869.05563548973,94468.07078348736,20617.462844563055,0.0,0.0
biomethane_conversion,biomethane,81300.78966519127,98173.41907727337,98273.51824388381,133827.38879825707,164502.51341645702,216162.92161667187,218074.1312927526,218614.8661833386,218592.41114681863,218200.13716244933,217277.86646921973,47420.449065189416,0.0,0.0
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,electricity,0.0,15.562305995429874,588.9951240315767,2689.215208339514,5338.546495328257,7960.170987633627,9223.745259370657,13324.07171326638,89812.3157236541,166838.49345848657,168750.44815083977,397368.9555793824,651808.0877559882,638535.59375
gasification,dry_biomass,3287.062169444575,8314.796760597046,11915.071329583363,49385.11771272553,67811.66974857601,132847.285682247,188609.26216311587,219296.57642289545,220058.17101503772,220082.15288447062,218882.28706162923,202699.63072330345,0.0,0.0
gasification,electricity,189.53238375494172,479.43214008030577,687.0243869125504,2847.5515824189188,3910.028697760288,7659.989812417985,10875.231806788874,12644.665885875922,12688.57951788611,12689.962315243207,12620.777913529368,11687.684082873842,0.0,0.0
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,hydrogen,2712.712721201998,17950.733219797603,20857.503319748856,73089.46397561903,110093.79595469727,192358.94412745055,229698.4649539587,252279.4281281653,302244.75363003137,351833.52531448647,352221.4390149274,393257.38604784774,417157.1761638325,408662.78
scrap_conversion_BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
