technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,direct_reduced_iron,176559.999636,176901.53812553844,177243.07661507698,177584.61510461546,177926.1535941539,178267.6920836924,178609.2305732309,178950.76906276937,179292.30755230784,179633.84604184632,179975.38453138483,180316.9230209233,180658.46151046178,180999.99999999997
EAF,steel,176559.999636,176901.53812553844,177243.07661507698,177584.61510461546,177926.1535941539,178267.6920836924,178609.2305732309,178950.76906276937,179292.30755230784,179633.84604184632,179975.38453138483,180316.9230209233,180658.46151046178,180999.99999999997
SMR,electricity,499.8833357152602,1158.2093737562202,1375.232334754915,2699.333257959233,4923.723781670701,5477.257535215246,5587.434405267136,5644.940578883923,5664.839925460005,5659.344179500842,5633.784533184794,0.0,0.0,0.0
SMR,hydrogen,12103.712729183057,28043.810502571916,33298.60374709236,65359.15878835915,119218.49350292253,132621.247826035,135288.96865053597,136681.36994876325,137163.1943210655,137030.12541164266,136411.24777687152,0.0,0.0,0.0
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,97630.82478450263,118674.68054250888,125573.16469719548,167142.43078515175,237178.44870792216,254399.36955983608,257678.55445206122,259282.10236926196,259703.08095557155,259298.56848178516,258263.0810830347,0.0,0.0,0.0
biomethane_conversion,natural_gas,97630.82478450263,118674.68054250888,125573.16469719548,167142.43078515175,237178.44870792216,254399.36955983608,257678.55445206122,259282.10236926196,259703.08095557155,259298.56848178516,258263.0810830347,0.0,0.0,0.0
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,hydrogen,7.9679006696600965,417.611976569188,553.4416697358037,1296.608444550059,2094.1775542218984,2103.2878046754668,17141.610450268672,33676.64242143784,151328.6431508572,159936.3432794434,162892.40261895544,530135.3600199749,531139.4900099878,532143.6199999999
electrolysis,oxygen,0.049711732278009305,2.6054811218151634,3.452922577481678,8.089540085547817,13.065573760790421,13.122412613370235,106.94650759922624,210.10857206735065,944.1394046181982,997.8428457204473,1016.2856999396629,3307.5145111646234,3313.779278172314,3320.044045179999
gasification,hydrogen,5707.9380634464205,20237.550209457717,23696.19301279773,41675.35124838088,76468.88088319768,116117.18500990447,141634.3181460582,143626.63294765234,143868.32219574112,143885.4459826711,142801.06310647295,0.0,0.0,0.0
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,natural_gas,16607.28675983144,45385.80865666246,53633.02742742396,100960.9678297205,184325.77068065436,233776.06769861598,274058.6181238237,292623.15500265936,402945.1627844025,410859.1935449741,412026.76002078276,494068.3690773299,495004.1845386653,495939.99999999994
pv_ground,electricity,80873.56573756918,81756.94106682984,82068.08180525953,82830.6873375055,83655.15577464884,84619.22141767449,106580.1402949097,106724.57819392669,106801.19435128721,106869.71321060037,106922.13455118671,59719.092626266414,59836.68040290024,59954.26817953395
scrap_conversion_BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,electricity,7962.83446556328,7975.489580969662,7988.1446963760445,8129.345673725022,8524.940521515646,8741.896907933597,8931.629707495575,9118.267116728905,35622.860554910214,36034.29830288437,37423.06554136978,90755.55483735696,90856.06205370348,90956.56927004992
wind_onshore,electricity,51033.697226505166,51955.4986839676,52194.343522439405,53045.226047754404,54408.59829834644,56541.54127064994,60338.3526751598,86216.81990181583,243715.2192830458,256937.6563032954,260274.3604891226,820631.8842561205,822228.5183495586,823825.1524429951
