carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,9206.33330253273,32641.144732834353,38219.58971034146,67218.17402851353,123336.65797650954,187285.4077024749,228441.9917377773,231655.39628126848,232045.21686951086,232072.83582545022,230323.83468443024,0.0,0.0,0.0
electricity,8483.707013583959,8285.76420279789,8326.88055698714,8368.242731641707,8442.684493847415,8450.229619554886,8549.954514809955,8591.070868999204,8632.18311665372,8673.301529388653,8725.855852519206,8696.18364904238,8737.300003231627,8778.416357420836
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,257777.59946855996,258276.24566328613,258774.8918580124,259273.53805273856,259772.18424746467,260270.83044219093,260769.4766369171,261268.12283164327,261766.76902636947,262265.4152210956,262764.06141582184,263262.707610548,263761.3538052742,264259.99999999994
limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,385255.37917969597,357070.2219644942,349684.7344870404,303360.38629021624,220842.49897165067,172513.25360253683,133351.90278121879,115927.94501252568,6746.519418117268,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,42447.92999980606,51597.37760627201,54596.700547046654,72670.18605676829,103120.44592923041,110607.75789722554,112033.48190466718,112730.67246810773,112913.70553786341,112737.83160451056,112287.62239328182,0.0,0.0,0.0
