carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,20635.356556721337,43241.310612564004,59335.32627667333,88207.3666957045,157409.13057316822,216111.86964946892,239810.84301062807,241690.30132147393,242060.4961035174,241312.65955201996,239096.97905285927,0.0,0.0,0.0
electricity,8819.101817235816,8446.961723465964,8649.209724861263,8851.457726256569,9053.705727651868,9314.91700307002,9517.16500446532,9719.413005860622,9921.591027259195,9993.824512918369,10065.69578393963,10078.582045463538,10150.813472577014,10223.044899690514
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,257777.59946855996,260230.39953499,262683.19960141997,265135.9996678499,267588.7997342799,270041.59980070987,272494.3998671399,274947.1999335698,277400.0,278276.0,279151.99999999994,280027.9999999999,280903.9999999998,281780.0
limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,371223.15447090345,337200.45299211395,324493.24425187916,287171.2418822108,210667.7995925423,177925.46722992734,166177.97360870085,123724.05983298727,126.63912379089228,0.0,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,46814.57071337473,61984.77313277785,66701.17721686052,81704.41636359367,106330.12186802713,108500.56946130721,109265.03510260179,109655.43182931785,109635.55707319708,109450.65045130019,108831.88851643384,0.0,0.0,0.0
