carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,3287.062169444575,8314.796760597046,11915.071329583363,49385.11771272553,67811.66974857601,132847.285682247,188609.26216311587,219296.57642289545,220058.17101503772,220082.15288447062,218882.28706162923,202699.63072330345,0.0,0.0
electricity,12640.780170955813,9640.357145496244,7987.055143874275,7249.935826063665,6853.35740262462,6537.781224806796,6180.439258165587,5868.492174069969,5520.6680160255355,5172.847975072478,4825.025875573733,4417.8606584744575,4264.992850035561,4113.46785721772
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,257777.59946855996,253559.32258636307,249341.0457041661,245122.76882196913,240904.49193977215,236686.21505757523,232467.93817537828,228249.6612931813,224031.38441098435,219813.1075287874,215594.83064659045,211376.55376439347,207158.27688219651,202940.0
limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,400821.7240760544,377559.6510837362,367233.52551859274,311002.02253351564,268942.1175446669,184989.20415441605,142905.6161155212,114612.23492444489,60854.34554766183,7474.9894331033565,0.0,0.0,0.0,0.0
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,35347.95733063186,42683.839146416925,42727.3602620758,58185.47210170622,71522.40278320719,93983.31506049659,94814.27080346299,95049.37151919196,95039.6085184138,94869.05563548973,94468.07078348736,20617.462844563055,0.0,0.0
