technology,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS_retrofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_retrofit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,22.394723444444438,22.546345046852444,22.697966649260444,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447
EAF,22.394723444444438,22.546345046852444,22.697966649260444,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447,22.849588251668447
SMR,0.0340363826797541,0.0340363826797541,0.0340363826797541,0.0340363826797541,0.0340363826797541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,0.0,0.0,0.0,0.0,5.4495044581593675,5.4495044581593675,5.4495044581593675,5.449504458159368,5.4495044581593675,5.4495044581593675,5.4495044581593675,5.449504458159368,5.4495044581593675,5.449504458159368
biomethane_conversion,2340.092020880134,2340.092020880134,2340.092020880134,2340.092020880134,2340.092020880134,2400.0,2370.0,2550.0,2550.0,2550.0,2550.0,2550.0,2550.0,5010.0
carbon_pipeline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_removal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0008996496669912,0.0008996496669912,0.0008996496669912,0.0008996496669912,0.0008996496669912,0.0008996496669912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,12113.810361921025,24227.605000549876,36405.91118501386,48584.21736947784,48584.21736947784,48584.21736947784,48584.21736947784,36470.407007556816,24356.612368927963,12178.306184463981,0.0,0.0,0.0,0.0
hydrogen_pipeline,0.0331892307294081,0.0331892307294081,0.0331892307294081,0.0331892307294081,0.0331892307294081,0.0331892307294081,0.0331892307294081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_ground,111.3257834065358,115.85228792392918,116.66010767681833,117.47019855054191,117.47019855054192,117.47019855054191,131.11454282991878,134.59979133012504,134.60206245095947,134.60206245095947,134.60206245095947,134.60206245095947,134.60206245095947,134.60206245095947
scrap_conversion_BF_BOF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,1.2179337385602835,1.2237423071957971,1.2295508758313107,1.235359444466824,1.235359444466824,1.235359444466824,1.1064104882651025,1.1064104882651025,1.1064104882651025,1.1064104882651025,1.1064104882651025,1.1064104882651025,1.1064104882651025,1.1064104882651025
wind_onshore,5.8740473785205545,7.1011428750606775,7.105388263616766,7.1088514407539485,7.1088514407539485,7.1088514407539485,2.0912801852304,0.8676478658274603,0.8668656544085543,0.8668656544085543,0.8668656544085543,0.8668656544085543,0.8668656544085543,0.8668656544085543
