technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS_retrofit,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_retrofit,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_retrofit,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_retrofit,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_retrofit,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,iron_ore,257777.59946855996,266362.3997010649,274947.1999335698,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994
DRI,natural_gas,483774.39900264,499885.59943898494,515996.7998753298,524709.9999999999,524709.9999999999,524709.9999999999,524709.9999999999,524709.9999999999,524709.9999999999,524709.9999999999,524709.9999999999,524709.9999999999,524709.9999999999,524709.9999999999
EAF,direct_reduced_iron,176559.999636,182439.99979524995,188319.9999544999,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994
EAF,electricity,148310.39969423998,153249.59982800996,158188.7999617799,160859.99999999994,160859.99999999994,160859.99999999994,160859.99999999994,160859.99999999994,160859.99999999994,160859.99999999994,160859.99999999994,160859.99999999994,160859.99999999994,160859.99999999994
SMR,natural_gas,367.85778364952847,367.85778364952847,367.85778364952847,367.85778364952847,367.85778364952847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,0.0,0.0,0.0,0.0,20029.33709034839,20029.337090348392,20029.33709034839,20029.337090348392,20029.33709034839,20029.33709034839,20029.337090348392,20029.337090348392,20029.337090348392,20029.337090348392
biomethane_conversion,biomethane,0.0,0.0,0.0,0.0,46067.75171431158,46067.751714311584,46067.75171431158,46067.75171431159,46067.75171431158,46067.75171431158,46067.751714311584,46067.75171431159,46067.75171431159,46067.75171431159
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,electricity,11.698257076095732,11.698257076095732,11.698257076095732,11.698257076095732,11.698257076095732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,hydrogen,290.7376611896149,290.7376611896149,290.7376611896149,290.7376611896149,290.7376611896149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
