technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS_retrofit,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS_retrofit,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_retrofit,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,direct_reduced_iron,176559.999636,177755.3843493847,178950.76906276937,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407
EAF,steel,176559.999636,177755.3843493847,178950.76906276937,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407,180146.15377615407
SMR,electricity,11.698257076095736,11.698257076095732,11.698257076095732,11.698257076095732,11.698257076095732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,hydrogen,283.2507766609137,283.25077666091363,283.25077666091363,283.25077666091363,283.25077666091363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,0.0,0.0,0.0,0.0,45350.77610080225,45350.77610080226,45350.77610080225,45350.776100802264,45350.77610080225,45350.77610080225,45350.77610080226,45350.776100802264,45350.77610080226,45350.776100802264
biomethane_conversion,natural_gas,0.0,0.0,0.0,0.0,45350.77610080225,45350.77610080226,45350.77610080225,45350.776100802264,45350.77610080225,45350.77610080225,45350.77610080226,45350.776100802264,45350.77610080226,45350.776100802264
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,hydrogen,7.486884528701271,7.486884528701269,7.486884528701269,7.486884528701269,7.486884528701269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,oxygen,0.0467106725745672,0.0467106725745672,0.0467106725745672,0.0467106725745672,0.0467106725745672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,natural_gas,270.9577457498741,270.95774574987416,270.95774574987416,270.95774574987416,270.95774574987416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_ground,electricity,114090.42456502953,118760.45505950876,119585.6151438296,120412.62586277217,120412.62586277218,120412.62586277218,132959.3489815166,135844.1407647652,135845.99139938696,135845.99139938696,135845.99139938696,135845.99139938696,135845.99139938696,135845.99139938696
scrap_conversion_BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,electricity,4791.85171045522,4814.969411671615,4838.087112888009,4861.204814104403,4861.204814104403,4861.204814104402,4367.855134103549,4367.855134103549,4367.855134103549,4367.855134103549,4367.855134103549,4367.855134103549,4367.855134103549,4367.855134103549
wind_onshore,electricity,14456.408107009343,17351.287389679725,17363.22552372327,17373.313023145063,17373.313023145063,17373.313023145063,5319.939584401471,2435.1478011528816,2433.2971665311225,2433.2971665311225,2433.2971665311225,2433.2971665311225,2433.2971665311225,2433.2971665311225
