technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS_retrofit,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS_retrofit,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_retrofit,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,direct_reduced_iron,176559.999636,182439.99979524995,188319.9999544999,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994
EAF,steel,176559.999636,182439.99979524995,188319.9999544999,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994,191499.99999999994
SMR,electricity,11.698257076095732,11.698257076095732,11.698257076095732,11.698257076095732,11.698257076095732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,hydrogen,283.25077666091363,283.25077666091363,283.25077666091363,283.25077666091363,283.25077666091363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,0.0,0.0,0.0,0.0,46067.75171431158,46067.751714311584,46067.75171431158,46067.75171431159,46067.75171431158,46067.75171431158,46067.751714311584,46067.75171431159,46067.75171431159,46067.75171431159
biomethane_conversion,natural_gas,0.0,0.0,0.0,0.0,46067.75171431158,46067.751714311584,46067.75171431158,46067.75171431159,46067.75171431158,46067.75171431158,46067.751714311584,46067.75171431159,46067.75171431159,46067.75171431159
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,hydrogen,7.486884528701269,7.486884528701269,7.486884528701269,7.486884528701269,7.486884528701269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,oxygen,0.0467106725745672,0.0467106725745672,0.0467106725745672,0.0467106725745672,0.0467106725745672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,natural_gas,270.9577457498741,270.95774574987416,270.95774574987416,270.95774574987416,270.95774574987416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_ground,electricity,114090.42456502953,121881.81403769988,125940.7093647742,128140.74931377106,128140.74931377106,128140.74931377106,140624.61833492198,143629.03886926442,143638.14199041764,143638.14199041764,143638.14199041764,143638.14199041764,143638.14199041764,143638.14199041764
scrap_conversion_BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,electricity,4791.85171045522,4905.565802087699,5019.279893720176,5080.778330245968,5080.778330245968,5080.778330245968,4650.282747838637,4650.282747838637,4650.282747838637,4650.282747838637,4650.282747838637,4650.282747838637,4650.282747838637,4650.282747838637
wind_onshore,electricity,14456.408107009343,17510.448230378148,17569.17094055775,17596.00602407613,17596.00602407613,17596.00602407613,5542.63258533254,2538.2120509901088,2529.1089298368825,2529.1089298368825,2529.1089298368825,2529.1089298368825,2529.1089298368825,2529.1089298368825
