technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS_retrofit,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS_retrofit,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_retrofit,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,direct_reduced_iron,176559.999636,166447.69204169224,156335.38444738445,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767
EAF,steel,176559.999636,166447.69204169224,156335.38444738445,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767,146223.0768530767
SMR,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,0.0,0.0,0.0,0.0,42626.30120060543,42626.30120060543,42626.30120060542,42799.21659541443,42799.216595414415,42799.216595414415,42799.21659541443,42799.21659541443,42799.21659541443,42799.21659541443
biomethane_conversion,natural_gas,0.0,0.0,0.0,0.0,42626.30120060543,42626.30120060543,42626.30120060542,42799.21659541443,42799.216595414415,42799.216595414415,42799.21659541443,42799.21659541443,42799.21659541443,42799.21659541443
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,hydrogen,0.0,0.0,2342.6502750421723,6901.906112744016,6901.906112744016,6901.906112744016,5696.94195810088,97.98588382934675,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,oxygen,0.0,0.0,14.61579506598811,43.06099223740991,43.06099223740992,43.06099223740992,35.543220876591384,0.611333929211294,0.0,0.0,0.0,0.0,0.0,0.0
gasification,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,natural_gas,0.0,0.0,2183.2714585667964,6432.344932659848,6432.344932659849,6432.344932659848,5309.358768034371,91.31955622492707,0.0,0.0,0.0,0.0,0.0,0.0
pv_ground,electricity,105590.23478003479,108826.88940364258,108951.3224133889,108951.3224133889,108951.3224133889,108951.3224133889,119567.93647353514,112717.66894003462,112564.56599655128,112564.56599655128,112564.56599655128,112564.56599655128,112564.56599655128,112564.56599655128
scrap_conversion_BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore,electricity,4400.725233839071,4400.725233839071,4400.725233839072,4400.725233839071,4400.725233839071,4400.725233839071,3524.0165372926767,3524.0165372926767,3524.0165372926763,3524.0165372926763,3524.0165372926763,3524.0165372926763,3524.0165372926767,3524.0165372926763
wind_onshore,electricity,13303.95383420591,15667.793502295135,15588.691163400526,15667.793502295135,15667.793502295135,15667.793502295135,4045.1316470653846,2147.030314516632,2147.030314516632,2147.030314516632,2147.030314516632,2147.030314516632,2147.030314516632,2147.030314516632
