carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
biomethane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_liquid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_reduced_iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity,14971.715311745884,8951.771757844223,9659.639762727775,10042.466331906795,10042.466331906797,10042.466331906797,10042.466331906797,10042.466331906795,10042.466331906795,10042.466331906795,10042.466331906797,10042.466331906797,10042.466331906795,10042.466331906797
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iron_ore,257777.59946855996,266362.3997010649,274947.1999335698,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994,279589.99999999994
limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,483871.29904053966,499982.49947688455,516093.6999132294,524806.9000378995,478739.14832358796,478642.24828568834,478642.24828568834,478642.24828568834,478642.24828568834,478642.24828568834,478642.24828568834,478642.24828568834,478642.24828568834,478642.2482856883
nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wet_biomass,0.0,0.0,0.0,0.0,20029.337090348392,20029.337090348392,20029.337090348392,20029.337090348396,20029.337090348392,20029.337090348392,20029.337090348392,20029.337090348392,20029.337090348396,20029.337090348392
