technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,electricity,0.0,0.0,2538.189540201499,5091.642016791667,6957.834726054722,8838.577433850276,12592.957716934901,17736.216164210524,17736.216164210527,17770.155170526315,17870.297221601824,18245.30125894737,18245.30125894737,18245.30125894737
BF_BOF_CCS_retrofit,electricity,0.0,0.0,2538.189540201499,5091.642016791667,6957.834726054722,8838.577433850276,12592.957716934901,17736.216164210524,17736.216164210527,17770.155170526315,17870.297221601824,18245.30125894737,18245.30125894737,18245.30125894737
BF_BOF_retrofit,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_retrofit,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_retrofit,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_retrofit,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,iron_ore,257777.59946855996,260230.39953499,262683.19960141997,265135.9996678499,267588.7997342799,270041.59980070987,272494.3998671399,274947.1999335698,277400.0,278276.0,279151.99999999994,280027.9999999999,280903.9999999998,281780.0
DRI,natural_gas,483774.39900264,488377.59912731,492980.79925198,497583.9993766499,502187.19950131985,506790.3996259898,511393.5997506598,515996.7998753298,520600.0,522244.0,523887.99999999994,525531.9999999999,527175.9999999998,528820.0
EAF,direct_reduced_iron,176559.999636,178239.9996815,179919.99972699996,181599.99977249996,183279.99981799995,184959.99986349992,186639.9999089999,188319.9999544999,190000.0,190600.0,191199.99999999997,191799.99999999994,192399.99999999988,193000.0
EAF,electricity,148310.39969423998,149721.59973246,151132.79977067997,152543.99980889994,153955.19984711995,155366.39988533992,156777.5999235599,158188.7999617799,159599.99999999997,160104.0,160607.99999999997,161111.99999999994,161615.99999999988,162120.0
SMR,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15728.501188712671,55748.0498009218,71586.13258753263
SMR_CCS,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,wet_biomass,663.8108333074915,28620.580164192233,28620.580164192233,28590.795208559455,28620.580164192233,28620.580164192233,28654.167711797763,28597.051379754594,28798.679239980178,29075.882031816407,29738.598700200873,42610.514337867906,59907.965584999874,66683.32874530905
biomethane_conversion,biomethane,1526.774077251694,65827.72934401821,65827.72934401821,65759.22353502795,65827.72934401821,65827.7293440182,65904.98116702186,65773.61281511246,66237.35967611246,66874.92992275728,68399.18740558645,98004.77100572223,137789.1475803852,153372.5763496689
carbon_liquefication,carbon,0.0,0.0,15171.485595944403,30434.202132645943,41588.97026930497,52830.707913032136,75271.71378921041,106014.44210526317,106014.44210526317,106217.3052631579,106815.88297430858,109057.38947368422,109057.38947368422,109057.38947368422
carbon_liquefication,electricity,0.0,0.0,1152.4260458679369,2311.7819939957863,3159.0981816564054,4013.0205730739212,5717.639379428422,8052.857022315789,8052.857022315789,8068.2665077894735,8113.734470728479,8283.999304421053,8283.999304421053,8283.999304421053
carbon_removal,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carbon_storage,carbon_liquid,0.0,0.0,14412.911316147183,28912.49202601365,39509.52175583972,50189.17251738053,71508.12809974988,100713.72,100713.72,100906.44,101475.08882559313,103604.52,103604.52,103604.52
carbon_storage,electricity,0.0,0.0,543.5108857319103,1090.2900743009748,1489.904065412716,1892.6336956304199,2696.5715106415682,3797.9143812000007,3797.9143812000007,3805.1818524000005,3826.6255996131176,3906.9264492000007,3906.9264492000007,3906.9264492000007
electrolysis,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.37229868037485,2559.7041108286976,55506.427834342154
gasification,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.5143499079999,16181.704545841741,39422.77147772694,46946.57731238505
gasification,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.795359006413285,933.0389501911352,2273.1215496488344,2706.9450617222456
gasification_CCS,dry_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.6597742625085,22451.07318119787,69006.41910420654,119752.4271723566
scrap_conversion_BF_BOF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_EAF,scrap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
