technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,carbon,0.0,0.0,7051.412720673123,14148.01341062519,19190.419398278602,24276.32473198483,29336.113313172034,44726.94658850825,53007.22105263158,53007.22105263158,53108.652631578945,54018.47614226974,54528.6947368421,54528.6947368421
BF_BOF_CCS,coal,0.0,0.0,1267.13886590496,2542.398009889346,3448.5183658706646,4362.455554337674,5271.699562377014,8037.432301954934,9525.397623157894,9525.397623157894,9543.624877894737,9707.120162765872,9798.806444210526,9798.806444210526
BF_BOF_CCS_retrofit,carbon,0.0,0.0,7051.412720673123,14148.01341062519,19190.419398278602,24276.32473198483,29336.113313172034,44726.94658850825,53007.22105263158,53007.22105263158,53108.652631578945,54018.47614226974,54528.6947368421,54528.6947368421
BF_BOF_CCS_retrofit,coal,0.0,0.0,1267.13886590496,2542.398009889346,3448.5183658706646,4362.455554337674,5271.699562377014,8037.432301954934,9525.397623157894,9525.397623157894,9543.624877894737,9707.120162765872,9798.806444210526,9798.806444210526
BF_BOF_retrofit,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,direct_reduced_iron,176559.999636,176901.53812553844,177243.07661507698,177584.61510461546,177926.1535941539,178267.6920836924,178609.2305732309,178950.76906276937,179292.30755230784,179633.84604184632,179975.38453138483,180316.9230209233,180658.46151046178,180999.99999999997
EAF,steel,176559.999636,176901.53812553844,177243.07661507698,177584.61510461546,177926.1535941539,178267.6920836924,178609.2305732309,178950.76906276937,179292.30755230784,179633.84604184632,179975.38453138483,180316.9230209233,180658.46151046178,180999.99999999997
SMR,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.8062570366611,1590.9183470520302
SMR,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19656.325836238764,38521.025352349396
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,1526.774077251694,61118.73760529741,61118.73760529741,61050.231796307155,61118.7376052974,61118.7376052974,61134.442647099895,60990.76493895026,60641.618545980586,60858.042752990434,61121.00648971803,68109.87193603565,106033.37188247021,130315.79604320832
biomethane_conversion,natural_gas,1526.774077251694,61118.73760529741,61118.73760529741,61050.231796307155,61118.7376052974,61118.7376052974,61134.442647099895,60990.76493895026,60641.618545980586,60858.042752990434,61121.00648971803,68109.87193603565,106033.37188247021,130315.79604320832
carbon_liquefication,carbon_liquid,0.0,0.0,13397.684169278931,26881.22548018786,36461.79685672934,46125.016990771175,55738.61529502686,84981.19851816568,100713.71999999999,100713.71999999999,100906.43999999999,102635.1046703125,103604.51999999999,103604.51999999999
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.3689565275364,10424.36141374921
electrolysis,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.196669919775299,65.03759086038131
gasification,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.6597742625085,8457.653110283758,26073.45654462767
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.6597742625085,28626.34790305006,75018.84331072628
pv_ground,electricity,112858.53216328954,116941.54240026884,117151.18028111164,120199.48095092188,120451.74483492186,123404.19325820621,124517.78361126031,138488.48116257376,144577.98694396994,144811.51985780016,145112.93078426205,145389.48616735998,145958.20793076017,162539.80084745405
scrap_conversion_BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,limestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
