technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,nitrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF_BOF_CCS,carbon,0.0,0.0,7585.7427979722015,15217.101066322974,20794.485134652485,26415.35395651607,37635.856894605204,53007.221052631576,53007.22105263158,53108.652631578945,53407.94148715428,54528.6947368421,54528.69473684211,54528.6947368421
BF_BOF_CCS,coal,0.0,0.0,1363.1579807956048,2734.513061618238,3736.7689786970514,4746.839105985938,6763.163483960555,9525.397623157894,9525.397623157894,9543.624877894736,9597.407085241624,9798.806444210526,9798.806444210526,9798.806444210526
BF_BOF_CCS_retrofit,carbon,0.0,0.0,7585.7427979722015,15217.101066322974,20794.485134652485,26415.35395651607,37635.856894605204,53007.221052631576,53007.22105263158,53108.652631578945,53407.94148715428,54528.6947368421,54528.69473684211,54528.6947368421
BF_BOF_CCS_retrofit,coal,0.0,0.0,1363.1579807956048,2734.513061618238,3736.7689786970514,4746.839105985938,6763.163483960555,9525.397623157894,9525.397623157894,9543.624877894736,9597.407085241624,9798.806444210526,9798.806444210526,9798.806444210526
BF_BOF_retrofit,steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAC,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRI,direct_reduced_iron,176559.999636,178239.9996815,179919.99972699996,181599.99977249996,183279.99981799995,184959.99986349992,186639.9999089999,188319.9999544999,190000.0,190600.0,191199.99999999997,191799.99999999994,192399.99999999988,193000.0
EAF,steel,176559.999636,178239.9996815,179919.99972699996,181599.99977249996,183279.99981799995,184959.99986349992,186639.9999089999,188319.9999544999,190000.0,190600.0,191199.99999999997,191799.99999999994,192399.99999999988,193000.0
SMR,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.1825664848182,1772.845504564619,2276.512878929004
SMR,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12110.958026266782,42926.04127275106,55121.377213777334
SMR_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMR_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anaerobic_digestion,biomethane,1526.774077251694,65827.72934401821,65827.72934401821,65759.22353502795,65827.72934401821,65827.7293440182,65904.98116702186,65773.61281511246,66237.35967611246,66874.92992275728,68399.18740558645,98004.77100572223,137789.1475803852,153372.5763496689
biomethane_conversion,natural_gas,1526.774077251694,65827.72934401821,65827.72934401821,65759.22353502795,65827.72934401821,65827.7293440182,65904.98116702186,65773.61281511246,66237.35967611246,66874.92992275728,68399.18740558645,98004.77100572223,137789.1475803852,153372.5763496689
carbon_liquefication,carbon_liquid,0.0,0.0,14412.911316147183,28912.49202601365,39509.52175583972,50189.17251738053,71508.12809974988,100713.71999999999,100713.72,100906.43999999999,101475.08882559313,103604.51999999999,103604.51999999999,103604.51999999999
carbon_removal,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.43827115543996,1638.2106309303665,35524.11381832824
electrolysis,oxygen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9181073737387895,10.220796126374555,221.63494724182297
gasification,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.6597742625085,10032.676883775648,24442.167200525102,29106.936147551027
gasification_CCS,carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gasification_CCS,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h2_to_ng,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.6597742625085,22451.07318119787,69006.41910420654,119752.4271723566
pv_ground,electricity,112858.53216328954,117762.41674407525,118793.60842566378,122738.35474678487,123882.43548169671,127726.70075589289,136651.15650461795,150208.27384343796,151340.79937165047,151813.15077626027,152217.62416823904,153095.12496660402,155645.45036144272,208936.43843983707
scrap_conversion_BF_BOF,coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrap_conversion_BF_BOF,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
